wavelength,0.2 c,0.4 c,0.6 c,0.8 c,1.0 c
325.00,0.017510,0.037428,0.056690,0.080828,0.100176
324.00,0.017418,0.038048,0.057279,0.082033,0.101866
323.00,0.017930,0.038855,0.058526,0.083694,0.103693
322.00,0.018463,0.039890,0.059876,0.085807,0.106370
321.00,0.018689,0.040537,0.061352,0.087494,0.108469
320.00,0.019337,0.041300,0.062581,0.089522,0.110985
319.00,0.019526,0.042209,0.063809,0.091755,0.113777
318.00,0.019943,0.043583,0.065796,0.094119,0.116559
317.00,0.020479,0.044656,0.067796,0.097035,0.119980
316.00,0.020995,0.045997,0.069655,0.099726,0.123650
315.00,0.021760,0.047284,0.071795,0.102522,0.126897
314.00,0.022238,0.048575,0.073872,0.105477,0.130863
313.00,0.023166,0.050237,0.076255,0.108979,0.134962
312.00,0.023575,0.051736,0.078420,0.112102,0.138906
311.00,0.024577,0.053437,0.081278,0.116020,0.143547
310.00,0.025401,0.055086,0.083851,0.119414,0.148092
309.00,0.026099,0.056755,0.086325,0.123091,0.152244
308.00,0.026915,0.058173,0.088907,0.126457,0.156436
307.00,0.027547,0.060097,0.091417,0.130271,0.161095
306.00,0.028376,0.061868,0.094136,0.134166,0.165773
305.00,0.029266,0.063608,0.096930,0.138209,0.170329
304.00,0.030021,0.065334,0.099663,0.141828,0.175017
303.00,0.031145,0.067303,0.102611,0.145907,0.180195
302.00,0.031907,0.069129,0.105041,0.149482,0.184534
301.00,0.032822,0.071129,0.107930,0.153435,0.189328
300.00,0.033434,0.072736,0.110811,0.157601,0.194468
299.00,0.034776,0.074820,0.114153,0.162202,0.200193
298.00,0.035368,0.076723,0.117089,0.166111,0.204733
297.00,0.035977,0.078564,0.119757,0.170033,0.209626
296.00,0.036910,0.080803,0.122760,0.174429,0.214916
295.00,0.037806,0.082136,0.125059,0.178008,0.219182
294.00,0.039018,0.084122,0.128259,0.181962,0.224244
293.00,0.039449,0.086069,0.131183,0.186071,0.229350
292.00,0.040472,0.087669,0.133533,0.189461,0.233379
291.00,0.041026,0.088774,0.135174,0.192223,0.236633
290.00,0.041187,0.090082,0.137266,0.194702,0.239939
289.00,0.041902,0.090865,0.138528,0.196817,0.242232
288.00,0.042268,0.091746,0.140029,0.198718,0.244547
287.00,0.042636,0.092587,0.140618,0.199526,0.245467
286.00,0.042826,0.092362,0.140859,0.199740,0.245673
285.00,0.042811,0.092436,0.140853,0.199573,0.245498
284.00,0.042694,0.092133,0.140448,0.198945,0.244845
283.00,0.042343,0.091833,0.139623,0.197439,0.243400
282.00,0.042176,0.090737,0.138155,0.195735,0.240851
281.00,0.041293,0.089278,0.136013,0.192837,0.237605
280.00,0.040807,0.088289,0.134286,0.190386,0.234093
279.00,0.040000,0.086628,0.131770,0.186809,0.230127
278.00,0.039352,0.085032,0.129347,0.183569,0.226178
277.00,0.038740,0.083247,0.126797,0.179932,0.221645
276.00,0.037434,0.081453,0.123767,0.176008,0.216919
275.00,0.036754,0.079480,0.121157,0.172028,0.212134
274.00,0.036091,0.078019,0.118337,0.168251,0.207578
273.00,0.034848,0.076139,0.115443,0.164584,0.202953
272.00,0.034566,0.074810,0.113892,0.161642,0.199626
271.00,0.033413,0.072497,0.110585,0.157344,0.194386
270.00,0.032621,0.070833,0.107790,0.153613,0.189877
269.00,0.031977,0.069101,0.105699,0.150307,0.185832
268.00,0.030900,0.067483,0.102788,0.146694,0.181407
267.00,0.030035,0.066153,0.100889,0.144019,0.178167
266.00,0.029764,0.065134,0.099127,0.141433,0.175036
265.00,0.029365,0.063693,0.097043,0.138448,0.171455
264.00,0.028293,0.062108,0.094688,0.135221,0.167508
263.00,0.027823,0.061027,0.092936,0.132828,0.164525
262.00,0.027434,0.060123,0.091304,0.130559,0.161732
261.00,0.027423,0.059497,0.090134,0.129074,0.159883
260.00,0.026663,0.058535,0.088525,0.126646,0.157001
259.00,0.026402,0.057565,0.087138,0.124534,0.154368
258.00,0.025905,0.056957,0.085885,0.122591,0.152084
257.00,0.025257,0.055618,0.083947,0.119979,0.149275
256.00,0.024445,0.054483,0.082286,0.117756,0.145860
255.00,0.023979,0.053506,0.080169,0.115105,0.142649
254.00,0.022617,0.050932,0.076876,0.110572,0.138042
253.00,0.023420,0.051937,0.076859,0.109219,0.136912
252.00,0.019196,0.047279,0.071150,0.102623,0.130639
251.00,0.018471,0.039947,0.071100,0.097613,0.122345
250.00,0.022587,0.056775,0.089078,0.112467,0.113462
249.00,0.019598,0.080550,0.108466,0.109360,0.150726
248.00,-0.001998,0.037639,0.058884,0.117292,0.121300
247.00,0.068040,0.096856,0.073342,0.169179,0.188054
246.00,0.098020,0.059070,0.137878,0.103841,0.165196
245.00,0.128314,0.102536,0.097840,0.125197,0.317524
244.00,0.027078,-0.021391,-0.011535,0.124450,0.145188
243.00,0.002748,-0.032350,0.040968,0.049042,0.120757
242.00,0.031124,0.095080,0.042319,0.199185,0.181298
241.00,-0.039622,-0.037527,-0.005522,0.026207,0.160264
240.00,0.004845,0.077409,0.179511,0.093056,0.191513
239.00,-0.016906,-0.004785,0.076154,0.095770,0.207894
238.00,-0.015154,0.088806,0.082738,0.130893,0.194325
237.00,-0.138668,-0.032036,-0.081524,0.181179,0.002057
236.00,-0.031263,-0.013388,0.125470,0.089338,0.214902
235.00,-0.025275,0.072560,0.142668,0.030526,0.125051
234.00,0.021346,0.059282,0.107122,0.096765,0.276504
233.00,-0.085085,0.145950,-0.041789,0.170283,0.063574
232.00,0.083702,0.151532,0.190633,0.152415,0.171361
231.00,0.003836,-0.043487,0.127516,0.177808,0.295059
230.00,-0.058378,-0.012751,-0.112599,-0.045977,0.122914
229.00,0.094258,-0.014943,0.064209,0.136337,0.085293
228.00,0.140594,0.081527,0.084836,0.110106,0.257083
227.00,-0.144193,-0.164480,-0.028710,0.015036,0.316452
226.00,-0.083366,-0.047034,0.127012,0.069955,0.347643
225.00,-0.020563,0.060922,0.054518,0.134610,0.250084
224.00,-0.042431,0.008842,-0.002492,0.209738,0.077791
223.00,0.017493,0.133698,0.210632,0.107980,0.053477
222.00,0.027637,0.120296,0.119471,-0.001066,0.161481
221.00,0.009925,0.012852,0.022952,0.146541,0.207933
220.00,-0.013519,-0.023926,-0.018629,0.171328,0.203597
219.00,0.011922,-0.115170,-0.069590,0.024003,-0.058387
218.00,-0.001719,-0.067027,0.007262,0.021186,0.258488
217.00,-0.059563,0.162297,-0.085870,0.087115,0.005330
216.00,0.093765,0.192162,0.101324,0.288289,0.276632
215.00,-0.143356,0.021298,-0.012049,0.067378,-0.081917
214.00,0.038932,0.073508,0.067758,0.284253,0.092018
213.00,0.245291,0.206976,0.288655,0.224481,0.208840
212.00,0.268487,0.068609,0.095276,0.108506,0.169818
211.00,-0.175751,-0.123052,0.064576,0.206098,-0.022510
210.00,0.302094,0.208474,0.129507,0.399723,0.381130
209.00,0.006952,0.128081,0.146678,0.048294,0.139920
208.00,-0.025401,0.107231,0.050142,-0.107282,0.016840
207.00,0.080100,0.130949,0.114434,0.262224,0.321665
206.00,0.158235,0.150893,-0.002205,0.271170,0.262962
205.00,0.035844,0.058609,0.069593,0.067737,0.148311
204.00,0.247292,0.102571,0.132038,0.017821,0.181873
203.00,0.103023,-0.084890,-0.042173,0.098274,0.143824
202.00,0.052219,0.118378,0.092388,0.220234,0.136001
201.00,0.215953,0.104889,0.201808,0.240798,0.255896
200.00,0.112083,0.121002,0.185321,0.190630,0.309497
